group,scenario,backend,rep,op,counter,value
blob,blob/source-history,amber-rust-s3,1,push_initial,stored_objects,2
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_bytes_down,1465
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_bytes_up,1197
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_connections,1
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_request_body_bytes,0
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_requests_total,2
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_response_body_bytes,1240
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_responses_2xx,1
blob,blob/source-history,amber-rust-s3,1,push_noop,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,1,push_noop,stored_bytes,6082720
blob,blob/source-history,amber-rust-s3,1,push_noop,stored_objects,2
blob,blob/source-history,amber-rust-s3,1,pull_fresh,delivered_logical_bytes,22526976
blob,blob/source-history,amber-rust-s3,1,pull_fresh,delivered_references,11
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_bytes_down,6086416
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_bytes_up,4572
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_connections,2
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_request_body_bytes,0
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_requests_GET,6
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_requests_HEAD,1
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_requests_total,7
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_response_body_bytes,6085398
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_responses_2xx,5
blob,blob/source-history,amber-rust-s3,1,pull_fresh,s3_responses_4xx,2
blob,blob/source-history,amber-rust-s3,1,pull_fresh,stored_bytes,6082720
blob,blob/source-history,amber-rust-s3,1,pull_fresh,stored_objects,2
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_bytes_down,1867
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_bytes_up,6111246
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_connections,2
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_request_body_bytes,6108618
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_requests_PUT,2
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_requests_total,4
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_response_body_bytes,1240
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_responses_2xx,3
blob,blob/source-history,amber-rust-s3,1,push_incremental,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,1,push_incremental,stored_bytes,6099988
blob,blob/source-history,amber-rust-s3,1,push_incremental,stored_objects,2
blob,blob/source-history,amber-rust-s3,1,pull_incremental,delivered_logical_bytes,8192000
blob,blob/source-history,amber-rust-s3,1,pull_incremental,delivered_references,4
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_bytes_down,6103684
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_bytes_up,4572
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_connections,2
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_request_body_bytes,0
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_requests_GET,6
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_requests_HEAD,1
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_requests_total,7
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_response_body_bytes,6102666
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_responses_2xx,5
blob,blob/source-history,amber-rust-s3,1,pull_incremental,s3_responses_4xx,2
blob,blob/source-history,amber-rust-s3,1,pull_incremental,stored_bytes,6099988
blob,blob/source-history,amber-rust-s3,1,pull_incremental,stored_objects,2
blob,blob/source-history,amber-rust-s3,1,age_sealed_segments,segments_aged,1
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,retained_logical_bytes,8192000
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,retained_references,4
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_bytes_down,2427
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_bytes_up,6130976
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_connections,3
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_request_body_bytes,6127736
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_requests_POST,1
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_requests_PUT,2
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_requests_total,5
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_response_body_bytes,1692
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_responses_2xx,4
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,stored_bytes,6118842
blob,blob/source-history,amber-rust-s3,1,retention_cleanup,stored_objects,2
backup,backup/retention,restic,1,backup_initial,store_data_allocated_bytes,14204928
backup,backup/retention,restic,1,backup_initial,store_data_apparent_bytes,13149412
backup,backup/retention,restic,1,backup_initial,store_index_allocated_bytes,20480
backup,backup/retention,restic,1,backup_initial,store_index_apparent_bytes,12963
backup,backup/retention,restic,1,backup_initial,store_snapshots_allocated_bytes,8192
backup,backup/retention,restic,1,backup_initial,store_snapshots_apparent_bytes,411
backup,backup/retention,restic,1,backup_unchanged,store_data_allocated_bytes,14204928
backup,backup/retention,restic,1,backup_unchanged,store_data_apparent_bytes,13149412
backup,backup/retention,restic,1,backup_unchanged,store_index_allocated_bytes,20480
backup,backup/retention,restic,1,backup_unchanged,store_index_apparent_bytes,12963
backup,backup/retention,restic,1,backup_unchanged,store_snapshots_allocated_bytes,12288
backup,backup/retention,restic,1,backup_unchanged,store_snapshots_apparent_bytes,860
backup,backup/retention,restic,1,backup_changed,store_data_allocated_bytes,14417920
backup,backup/retention,restic,1,backup_changed,store_data_apparent_bytes,13358732
backup,backup/retention,restic,1,backup_changed,store_index_allocated_bytes,24576
backup,backup/retention,restic,1,backup_changed,store_index_apparent_bytes,16833
backup,backup/retention,restic,1,backup_changed,store_snapshots_allocated_bytes,16384
backup,backup/retention,restic,1,backup_changed,store_snapshots_apparent_bytes,1266
backup,backup/retention,restic,1,backup_changed_again,store_data_allocated_bytes,14630912
